,Date,Lat,Lon,Hour,Day
573332,2022-12-04 19:48:17.394109+00:00,43.84425127253717,-113.30728518591086,19,4
573333,2022-12-04 19:48:20.022114+00:00,43.93156253014396,-113.11596123524285,19,4
573334,2022-12-04 19:48:22.650120+00:00,44.018513961820986,-112.92404633024108,19,4
573335,2022-12-04 19:48:25.278095+00:00,44.10510344504499,-112.73153939639407,19,4
573336,2022-12-04 19:48:27.906101+00:00,44.19132885070582,-112.53843939121798,19,4
573337,2022-12-04 19:48:30.534107+00:00,44.2771880424674,-112.34474530663249,19,4
573338,2022-12-04 19:48:33.162112+00:00,44.362678878658876,-112.15045616530475,19,4
605022,2022-12-05 18:56:18.797413+00:00,40.036809919835775,-113.76844098300847,18,5
605023,2022-12-05 18:56:21.425389+00:00,40.13697927518576,-113.59980454464123,18,5
605024,2022-12-05 18:56:24.053394+00:00,40.23686809328186,-113.43064124229535,18,5
605025,2022-12-05 18:56:26.681400+00:00,40.33647458008039,-113.26094914177334,18,5
605026,2022-12-05 18:56:29.309406+00:00,40.435796932517704,-113.09072632131989,18,5
605027,2022-12-05 18:56:31.937412+00:00,40.534833339734405,-112.91997086979691,18,5
605028,2022-12-05 18:56:34.565417+00:00,40.63358198065699,-112.74868089153934,18,5
605029,2022-12-05 18:56:37.193392+00:00,40.732041026681294,-112.57685450184924,18,5
605030,2022-12-05 18:56:39.821398+00:00,40.830208639507504,-112.40448983145119,18,5
605031,2022-12-05 18:56:42.449404+00:00,40.92808297296675,-112.2315850235283,18,5
605032,2022-12-05 18:56:45.077410+00:00,41.02566217195127,-112.05813823617859,18,5
638920,2022-12-06 19:41:02.830463+00:00,44.87593624672946,-120.90440633942185,19,6
638921,2022-12-06 19:41:05.458468+00:00,44.9587444944742,-120.70588272715986,19,6
670614,2022-12-07 18:49:14.745760+00:00,41.67344840622078,-120.82368488712396,18,7
670615,2022-12-07 18:49:17.373765+00:00,41.768680140814475,-120.64600669610003,18,7
670616,2022-12-07 18:49:20.001771+00:00,41.86360023118503,-120.46777124058963,18,7
670617,2022-12-07 18:49:22.629777+00:00,41.9582067395467,-120.28897684290278,18,7
670618,2022-12-07 18:49:25.257783+00:00,42.05249771972347,-120.10962184472999,18,7
670619,2022-12-07 18:49:27.885758+00:00,42.146471216960336,-119.92970460809057,18,7
670620,2022-12-07 18:49:30.513764+00:00,42.240125268312255,-119.74922351513723,18,7
670621,2022-12-07 18:49:33.141769+00:00,42.33345790257286,-119.56817696889574,18,7
670622,2022-12-07 18:49:35.769775+00:00,42.42646714043421,-119.38656339353449,18,7
670623,2022-12-07 18:49:38.397781+00:00,42.51915099430764,-119.20438123534905,18,7
670624,2022-12-07 18:49:41.025756+00:00,42.6115074681497,-119.02162896376369,18,7
670625,2022-12-07 18:49:43.653823+00:00,42.703535964806704,-118.8383022589291,18,7
670626,2022-12-07 18:49:46.281798+00:00,42.79523165487477,-118.65440524878491,18,7
